keyword,pais,volumen,kd,url_destino,tipo_pagina,prioridad,fase
cluedo para imprimir,es,sin_medir,sin_medir,/para-imprimir,tienda,pendiente-medir,bloqueada
juegos de mesa de detectives,es,sin_medir,sin_medir,/juegos-para-dos,landing-intencion,pendiente-medir,mes-4-6
escape room en casa,es,sin_medir,sin_medir,/juegos-para-dos,landing-intencion,pendiente-medir,mes-4-6
historias de detectives cortas,es,sin_medir,sin_medir,/soluciones,guia,pendiente-medir,mes-4-6
puzzle de logica diario,es,sin_medir,sin_medir,/dias,hub-categoria,pendiente-medir,mes-2-3
un caso al dia,es,sin_medir,sin_medir,/,jugable,pendiente-medir,lanzamiento
juego detective diario,es,sin_medir,sin_medir,/juegos-de-detectives,hub-categoria,pendiente-medir,lanzamiento
juego de detectives para dos,es,sin_medir,sin_medir,/juegos-para-dos,landing-intencion,pendiente-medir,mes-4-6
juegos de logica cooperativos,es,sin_medir,sin_medir,/juegos-para-dos,landing-intencion,pendiente-medir,mes-4-6
juegos de logica en grupo,es,sin_medir,sin_medir,/para-profesores/hoja-a-hoja-b,landing-intencion,pendiente-medir,mes-2-3
juegos de logica para imprimir pdf,es,sin_medir,sin_medir,/para-imprimir,tienda,pendiente-medir,lanzamiento
pasatiempos para imprimir pdf,es,sin_medir,sin_medir,/para-imprimir,tienda,pendiente-medir,lanzamiento
acertijos de detectives para ninos,es,sin_medir,sin_medir,/para-profesores,landing-intencion,pendiente-medir,mes-2-3
juegos de logica para clase,es,sin_medir,sin_medir,/para-profesores,landing-intencion,pendiente-medir,mes-2-3
actividades de logica primaria,es,sin_medir,sin_medir,/para-profesores,landing-intencion,pendiente-medir,mes-2-3
juegos de deduccion para el aula,es,sin_medir,sin_medir,/para-profesores/hoja-a-hoja-b,landing-intencion,pendiente-medir,mes-2-3
juego de detectives para profesores,es,sin_medir,sin_medir,/para-profesores,landing-intencion,pendiente-medir,mes-2-3
como se juega al murdle,es,sin_medir,sin_medir,/juegos-como-murdle,comparativa,pendiente-medir,mes-2-3
murdoku donde jugar,es,sin_medir,sin_medir,/juegos-como-murdoku/online,landing-intencion,pendiente-medir,lanzamiento
hay murdoku online,es,sin_medir,sin_medir,/juegos-como-murdoku/online,landing-intencion,pendiente-medir,lanzamiento
alternativa a murdoku,es,sin_medir,sin_medir,/juegos-como-murdoku,comparativa,pendiente-medir,lanzamiento
juegos parecidos a murdle,es,sin_medir,sin_medir,/juegos-como-murdle,comparativa,pendiente-medir,mes-2-3
cual es mejor murdle o murdoku,es,sin_medir,sin_medir,/juegos-como-murdle,comparativa,pendiente-medir,mes-2-3
acertijos,mx,22200,sin dato,/acertijos,hub-categoria,P1,mes-2-3
enigmas,mx,14800,sin dato,/enigmas,hub-categoria,P1,mes-2-3
pasatiempos,mx,6600,sin dato,/para-medios,b2b,B2B-no-SEO,mes-7-12
murdoku online,mx,2400,30,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
juegos diarios,mx,2400,sin dato,/juegos-diarios,hub-categoria,P0,lanzamiento
murdoku pdf,mx,1600,34,/juegos-como-murdoku/para-imprimir,landing-intencion,P0,lanzamiento
juegos de misterio,mx,1300,sin dato,/juegos-de-misterio,hub-categoria,P1,mes-2-3
murdoku en espanol,mx,1000,32,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
wordle espanol,mx,1000,sin dato,-,no-atacar,no-atacar,no-aplica
juegos de detectives,mx,880,sin dato,/juegos-de-detectives,hub-categoria,P0,lanzamiento
juegos para pensar,mx,720,sin dato,/juegos-para-pensar,hub-categoria,P2,mes-4-6
acertijos de logica,mx,390,sin dato,/acertijos,hub-categoria,P1,mes-2-3
juegos de logica para ninos,mx,210,sin dato,/para-profesores,landing-intencion,P1,mes-2-3
juegos de logica,mx,140,sin dato,/juegos-de-logica,hub-categoria,P0,lanzamiento
cluedo online,mx,110,sin dato,/juegos-de-detectives,hub-categoria,bloqueada-legal,bloqueada
pasatiempos para imprimir,mx,110,sin dato,/para-imprimir,tienda,P0,lanzamiento
juegos de logica online,mx,30,sin dato,/juegos-de-logica,hub-categoria,P0,lanzamiento
murdle,mx,10,sin dato,/juegos-como-murdle,comparativa,P2,mes-2-3
murdoku,mx,sin dato,sin dato,/juegos-como-murdoku,comparativa,pendiente-medir,lanzamiento
murdoku,ar,9900,29,/juegos-como-murdoku,comparativa,P0,lanzamiento
enigmas,ar,9900,sin dato,/enigmas,hub-categoria,P1,mes-2-3
acertijos,ar,5400,sin dato,/acertijos,hub-categoria,P1,mes-2-3
wordle espanol,ar,5400,sin dato,-,no-atacar,no-atacar,no-aplica
murdoku online,ar,2900,27,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
pasatiempos,ar,2900,sin dato,/para-medios,b2b,B2B-no-SEO,mes-7-12
juegos diarios,ar,2400,20,/juegos-diarios,hub-categoria,P0,lanzamiento
juegos para pensar,ar,1300,sin dato,/juegos-para-pensar,hub-categoria,P2,mes-4-6
murdoku pdf,ar,1300,32,/juegos-como-murdoku/para-imprimir,landing-intencion,P0,lanzamiento
juegos de logica,ar,880,sin dato,/juegos-de-logica,hub-categoria,P0,lanzamiento
juegos de detectives,ar,720,sin dato,/juegos-de-detectives,hub-categoria,P0,lanzamiento
murdoku en espanol,ar,260,29,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
juegos de logica para ninos,ar,170,sin dato,/para-profesores,landing-intencion,P1,mes-2-3
acertijos de logica,ar,140,sin dato,/acertijos,hub-categoria,P1,mes-2-3
juegos de misterio,ar,110,sin dato,/juegos-de-misterio,hub-categoria,P1,mes-2-3
juegos de logica online,ar,30,sin dato,/juegos-de-logica,hub-categoria,P0,lanzamiento
cluedo online,ar,20,sin dato,/juegos-de-detectives,hub-categoria,bloqueada-legal,bloqueada
pasatiempos para imprimir,ar,20,sin dato,/para-imprimir,tienda,P0,lanzamiento
murdle,ar,sin dato,sin dato,/juegos-como-murdle,comparativa,pendiente-medir,mes-2-3
