keyword,volumen,kd,cpc,intencion,tendencia_12m,familia,producto_que_la_satisface,prioridad,fuente
murdoku pdf gratis,70,16,sin_medir,informacional-descarga,sin_medir,imprimible-pdf,Packs PDF (hoja de muestra gratis),P1,semrush-es-2026-09-05
murdoku edad recomendada,70,0,sin_medir,informacional,sin_medir,ninos-aula,Escena viernes De disparate (sin fallecidos),P1,semrush-es-2026-09-05
murdoku para que edad es,70,0,sin_medir,informacional,sin_medir,ninos-aula,Escena viernes De disparate (sin fallecidos),P1,semrush-es-2026-09-05
murdoku online en espanol,70,0,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku espanol online,70,0,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku instrucciones,40,0,sin_medir,informacional,sin_medir,marca-murdoku,Reconstruccion + escalafon,P0,semrush-es-2026-09-05
que es murdoku,10,0,sin_medir,informacional-GEO,sin_medir,preguntas-geo,Reconstruccion + escalafon,P0,semrush-es-2026-09-05
trucos murdoku,10,0,sin_medir,informacional,sin_medir,marca-murdoku,Reconstruccion + escalafon,P1,semrush-es-2026-09-05
murdoku diario,0,0,sin_medir,informacional-jugar,"0->1,00 en 2 meses",categoria-diarios,Archivo + Premium,P1,semrush-es-2026-09-05
murdoku android,0,0,sin_medir,transaccional-app,"0->1,00 en 2 meses",marca-murdoku,PWA instalable en 2 toques,P1,semrush-es-2026-09-05
juegos como murdoku,0,sin_medir,sin_medir,comercial-comparativa,sin_medir,preguntas-geo,Escena miercoles El interrogatorio,P0,semrush-es-2026-09-05
alternativas a murdoku,0,sin_medir,sin_medir,comercial-comparativa,sin_medir,preguntas-geo,Escena miercoles El interrogatorio,P0,semrush-es-2026-09-05
juegos parecidos a murdoku,0,sin_medir,sin_medir,comercial-comparativa,sin_medir,preguntas-geo,Escena miercoles El interrogatorio,P1,semrush-es-2026-09-05
que es un murdoku,0,sin_medir,sin_medir,informacional-GEO,sin_medir,preguntas-geo,Reconstruccion + escalafon,P0,semrush-es-2026-09-05
donde comprar murdoku,0,sin_medir,sin_medir,transaccional-libro,sin_medir,preguntas-geo,Ninguno - no atacar,no-atacar,semrush-es-2026-09-05
murdle,3600,20,sin_medir,navegacional-libro,subiendo,marca-murdle,Expediente jueves La tabla del comisario,P1,semrush-es-2026-09-05
murdle resuelve el crimen,1300,22,sin_medir,informacional-libro,sin_medir,marca-murdle,Packs PDF (Expediente A4),P1,semrush-es-2026-09-05
murdle pdf,390,sin_medir,sin_medir,informacional-descarga,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),P1,semrush-es-2026-09-05
murdle online,170,0,sin_medir,informacional-jugar,"0->max ultimo mes",marca-murdle,Expediente jueves La tabla del comisario,P1,semrush-es-2026-09-05
murdle espanol,70,20,sin_medir,informacional,"0->max ultimo mes",marca-murdle,Expediente jueves La tabla del comisario,P1,semrush-es-2026-09-05
murdle espanol online,70,0,sin_medir,informacional-jugar,"0->max ultimo mes",marca-murdle,Expediente jueves La tabla del comisario,P1,semrush-es-2026-09-05
murdle juego,40,17,sin_medir,informacional-jugar,sin_medir,marca-murdle,Expediente vistazo 3x3x3,P1,semrush-es-2026-09-05
murdle en espanol,20,0,sin_medir,informacional,"0->max ultimo mes",marca-murdle,Expediente jueves La tabla del comisario,P1,semrush-es-2026-09-05
cluedo online,480,17,sin_medir,informacional-jugar,sin_medir,marca-otros,Expediente jueves La tabla del comisario,P2-luz-verde-legal,semrush-es-2026-09-05
wordle espanol,110000,53,sin_medir,navegacional,estable,marca-otros,Ninguno - no atacar en ano 1,no-atacar,semrush-es-2026-09-05
la palabra del dia juego,12100,58,sin_medir,navegacional,sin_medir,marca-otros,Ninguno - no atacar en ano 1,no-atacar,semrush-es-2026-09-05
cluedoku,sin_medir,sin_medir,sin_medir,navegacional,sin_medir,marca-otros,Escena lunes El corto 4x4,medir-M1,sin_medir
caseoku,sin_medir,sin_medir,sin_medir,navegacional,sin_medir,marca-otros,Escena lunes El corto 4x4,medir-M1,sin_medir
enigmic,sin_medir,sin_medir,sin_medir,navegacional,sin_medir,marca-otros,Escena lunes El corto 4x4,medir-M1,sin_medir
clues by sam,sin_medir,sin_medir,sin_medir,navegacional,sin_medir,marca-otros,Escena miercoles El interrogatorio,medir-M2,sin_medir
endless cases,sin_medir,sin_medir,sin_medir,navegacional,sin_medir,marca-otros,Cuatro manos hoja A/B,medir-M2,sin_medir
juegos de logica,1600,27,sin_medir,informacional,estable,categoria-logica,Escena lunes El corto 4x4,P1,semrush-es-2026-09-05
juegos mentales,1600,49,sin_medir,informacional,sin_medir,categoria-logica,Escena lunes El corto 4x4,P2,semrush-es-2026-09-05
juegos de ingenio,480,15,sin_medir,informacional,sin_medir,categoria-logica,Escena vistazo 3x3,P1,semrush-es-2026-09-05
juegos de logica para adultos,390,16,sin_medir,informacional,sin_medir,categoria-logica,Escena sabado El dificil,P1,semrush-es-2026-09-05
juegos de logica online,320,25,sin_medir,informacional-jugar,sin_medir,categoria-logica,Escena lunes El corto 4x4,P1,semrush-es-2026-09-05
juegos de logica gratis,260,36,sin_medir,comercial,sin_medir,categoria-logica,Escena lunes El corto 4x4,P1,semrush-es-2026-09-05
juegos para pensar,260,44,sin_medir,informacional,sin_medir,categoria-logica,Escena lunes El corto 4x4,P2,semrush-es-2026-09-05
juegos gratis de logica,210,30,sin_medir,informacional-jugar,sin_medir,categoria-logica,Escena lunes El corto 4x4,P2,semrush-es-2026-09-05
juegos de logica y razonamiento,210,12,sin_medir,informacional,sin_medir,categoria-logica,Reconstruccion + escalafon,P1,semrush-es-2026-09-05
juegos de logica para ninos,170,8,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA (Escena 3-4 / Expediente 5-6),P1,semrush-es-2026-09-05
juegos de logica para imprimir,110,10,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),P1,semrush-es-2026-09-05
juegos de logica faciles,20,0,sin_medir,informacional-jugar,sin_medir,categoria-logica,Escena vistazo 3x3,P1,semrush-es-2026-09-05
juegos de logica dificiles,20,0,sin_medir,informacional-jugar,sin_medir,categoria-logica,Escena sabado El dificil,P1,semrush-es-2026-09-05
juegos de deduccion,20,0,sin_medir,informacional,sin_medir,categoria-logica,Expediente jueves La tabla del comisario,P1,semrush-es-2026-09-05
juegos de detectives,320,25,sin_medir,informacional,estable,categoria-detectives-misterio,Escena miercoles El interrogatorio,P1,semrush-es-2026-09-05
juego de detectives,320,24,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Escena miercoles El interrogatorio,P1,semrush-es-2026-09-05
juegos de misterio,260,18,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Escena lunes El corto 4x4,P1,semrush-es-2026-09-05
juegos de resolver crimenes,210,36,sin_medir,informacional-jugar,sin_medir,categoria-detectives-misterio,Escena lunes El corto 4x4,P1,semrush-es-2026-09-05
casos para resolver,170,16,sin_medir,informacional-jugar,sin_medir,categoria-detectives-misterio,Archivo + Expediente invertido,P1,semrush-es-2026-09-05
juegos de investigacion,140,28,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Escena miercoles El interrogatorio,P2,semrush-es-2026-09-05
misterios para resolver,20,sin_medir,sin_medir,informacional-jugar,sin_medir,categoria-detectives-misterio,Archivo + Expediente invertido,P2,semrush-es-2026-09-05
escape room online gratis,720,39,sin_medir,comercial,sin_medir,categoria-detectives-misterio,Cuatro manos hoja A/B,P2,semrush-es-2026-09-05
acertijos,8100,41,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Escena vistazo 3x3,P2,semrush-es-2026-09-05
acertijos para ninos,2400,22,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA + Escena viernes De disparate,P1,semrush-es-2026-09-05
acertijos para adultos,2400,30,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Escena sabado El dificil,P2,semrush-es-2026-09-05
acertijos con respuesta,1900,33,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Reconstruccion + escalafon,P2,semrush-es-2026-09-05
dificiles acertijos,1600,43,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Escena sabado El dificil,P2,semrush-es-2026-09-05
acertijos dificiles,1300,35,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Escena sabado El dificil,P2,semrush-es-2026-09-05
enigmas,1300,32,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Escena lunes El corto 4x4,P2,semrush-es-2026-09-05
acertijos de logica,720,27,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Escena lunes El corto 4x4,P2,semrush-es-2026-09-05
acertijos faciles,390,36,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Escena vistazo 3x3,P2,semrush-es-2026-09-05
acertijos de pensamiento lateral,260,14,sin_medir,informacional,sin_medir,categoria-acertijos-enigmas,Ninguno - encaje bajo (no hay solucion unica deductiva),no-atacar,semrush-es-2026-09-05
enigmas para resolver,260,28,sin_medir,informacional-jugar,sin_medir,categoria-acertijos-enigmas,Archivo + Expediente invertido,P2,semrush-es-2026-09-05
acertijos para adolescentes,90,26,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA (Expediente 5-6),P2,semrush-es-2026-09-05
acertijos para imprimir,20,sin_medir,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),P1,semrush-es-2026-09-05
pasatiempos diarios,5400,50,sin_medir,informacional,sin_medir,categoria-diarios,Escena semana con caracter,P2,semrush-es-2026-09-05
sudoku diario,3600,68,sin_medir,informacional-jugar,sin_medir,categoria-diarios,Ninguno - no atacar,no-atacar,semrush-es-2026-09-05
juegos diarios,2900,37,sin_medir,navegacional-mixta,sin_medir,categoria-diarios,Escena semana con caracter,P1,semrush-es-2026-09-05
juegos diarios gratis,1300,28,sin_medir,informacional-jugar,sin_medir,categoria-diarios,Escena semana con caracter,P1,semrush-es-2026-09-05
como se juega al sudoku,1000,23,sin_medir,informacional,sin_medir,categoria-diarios,Reconstruccion + escalafon,P2,semrush-es-2026-09-05
juego diario,480,56,sin_medir,informacional,sin_medir,categoria-diarios,Escena semana con caracter,P2,semrush-es-2026-09-05
juego diario gratis,390,55,sin_medir,informacional-jugar,sin_medir,categoria-diarios,Escena semana con caracter,P2,semrush-es-2026-09-05
juego del dia,170,64,sin_medir,informacional,sin_medir,categoria-diarios,Escena semana con caracter,P2,semrush-es-2026-09-05
puzzle diario,70,17,sin_medir,informacional-jugar,sin_medir,categoria-diarios,Archivo + Premium,P1,semrush-es-2026-09-05
reto diario,40,24,sin_medir,informacional,sin_medir,categoria-diarios,Escena semana con caracter,P2,semrush-es-2026-09-05
pasatiempos,27100,61,sin_medir,navegacional-medios,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
pasatiempos el pais,22200,37,sin_medir,navegacional-medios,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
pasatiempos gratis,12100,61,sin_medir,informacional,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
el pais pasatiempos,6600,sin_medir,sin_medir,navegacional-medios,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
pasatiempos online,6600,67,sin_medir,informacional,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
20 minutos pasatiempos,2900,31,sin_medir,navegacional-medios,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
la vanguardia pasatiempos,1300,42,sin_medir,navegacional-medios,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
abc pasatiempos,1000,32,sin_medir,navegacional-medios,sin_medir,categoria-pasatiempos-medios,B2B widget / marca blanca,B2B-no-SEO,semrush-es-2026-09-05
pasatiempos para imprimir,320,19,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),P1,semrush-es-2026-09-05
pasatiempos para ninos,90,13,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA (Escena 3-4),P1,semrush-es-2026-09-05
recursos para profesores,50,25,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA + Expediente invertido,P1,semrush-es-2026-09-05
juegos para dos personas online,260,69,sin_medir,informacional,sin_medir,dos-jugadores-grupo,Cuatro manos hoja A/B,P2,semrush-es-2026-09-05
juegos online sin descargar,390,88,sin_medir,informacional,sin_medir,otros-genericos,PWA instalable en 2 toques,no-atacar,semrush-es-2026-09-05
sudoku de asesinatos,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Escena lunes El corto 4x4,medir-M1,sin_medir
juego de asesinatos,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Escena lunes El corto 4x4,medir-M1,sin_medir
quien es el asesino,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Escena lunes El corto 4x4,medir-M1,sin_medir
resolver crimenes,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Escena miercoles El interrogatorio,medir-M1,sin_medir
rompecabezas de logica,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-logica,Expediente jueves La tabla del comisario,medir-M1,sin_medir
retos de logica,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-logica,Escena semana con caracter,medir-M1,sin_medir
pasatiempos para adultos,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-pasatiempos-medios,Escena sabado El dificil,medir-M1,sin_medir
juegos tipo wordle,sin_medir,sin_medir,sin_medir,comercial-comparativa,sin_medir,categoria-diarios,Escena semana con caracter,medir-M2,sin_medir
cluedo para imprimir,sin_medir,sin_medir,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),medir-M2,sin_medir
juegos de mesa de detectives,sin_medir,sin_medir,sin_medir,comercial,sin_medir,categoria-detectives-misterio,Cuatro manos hoja A/B,medir-M2,sin_medir
escape room en casa,sin_medir,sin_medir,sin_medir,comercial,sin_medir,dos-jugadores-grupo,Cuatro manos hoja A/B,medir-M2,sin_medir
historias de detectives cortas,sin_medir,sin_medir,sin_medir,informacional,sin_medir,categoria-detectives-misterio,Archivo + Expediente invertido,medir-M3,sin_medir
puzzle de logica diario,sin_medir,sin_medir,sin_medir,informacional-jugar,sin_medir,categoria-diarios,Escena semana con caracter,medir-M1,sin_medir
un caso al dia,sin_medir,sin_medir,sin_medir,informacional-jugar,sin_medir,categoria-diarios,Escena semana con caracter,medir-M2,sin_medir
juego detective diario,sin_medir,sin_medir,sin_medir,informacional-jugar,sin_medir,categoria-diarios,Escena semana con caracter,medir-M2,sin_medir
juego de detectives para dos,sin_medir,sin_medir,sin_medir,informacional,sin_medir,dos-jugadores-grupo,Cuatro manos hoja A/B,medir-M1,sin_medir
juegos de logica cooperativos,sin_medir,sin_medir,sin_medir,informacional,sin_medir,dos-jugadores-grupo,Cuatro manos hoja A/B,medir-M1,sin_medir
juegos de logica en grupo,sin_medir,sin_medir,sin_medir,informacional,sin_medir,dos-jugadores-grupo,Cuatro manos hoja A/B + PDF-AULA,medir-M2,sin_medir
juegos de logica para imprimir pdf,sin_medir,sin_medir,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),medir-M1,sin_medir
pasatiempos para imprimir pdf,sin_medir,sin_medir,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),medir-M1,sin_medir
acertijos de detectives para ninos,sin_medir,sin_medir,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA + Escena viernes De disparate,medir-M1,sin_medir
juegos de logica para clase,sin_medir,sin_medir,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA + Expediente invertido,medir-M1,sin_medir
actividades de logica primaria,sin_medir,sin_medir,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA (Escena 3-4),medir-M1,sin_medir
juegos de deduccion para el aula,sin_medir,sin_medir,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA + Cuatro manos hoja A/B,medir-M2,sin_medir
juego de detectives para profesores,sin_medir,sin_medir,sin_medir,informacional,sin_medir,ninos-aula,PDF-AULA,medir-M2,sin_medir
como se juega al murdle,sin_medir,sin_medir,sin_medir,informacional-GEO,sin_medir,preguntas-geo,Expediente jueves La tabla del comisario,medir-M1,sin_medir
murdoku donde jugar,sin_medir,sin_medir,sin_medir,navegacional-jugar,sin_medir,preguntas-geo,Escena lunes El corto 4x4,medir-M1,sin_medir
hay murdoku online,sin_medir,sin_medir,sin_medir,informacional-GEO,sin_medir,preguntas-geo,Escena lunes El corto 4x4,medir-M1,sin_medir
alternativa a murdoku,sin_medir,sin_medir,sin_medir,comercial-comparativa,sin_medir,preguntas-geo,Escena miercoles El interrogatorio,medir-M1,sin_medir
juegos parecidos a murdle,sin_medir,sin_medir,sin_medir,comercial-comparativa,sin_medir,preguntas-geo,Expediente jueves La tabla del comisario,medir-M2,sin_medir
cual es mejor murdle o murdoku,sin_medir,sin_medir,sin_medir,comercial-comparativa,sin_medir,preguntas-geo,Expediente + Escena (tabla comparativa),medir-M2,sin_medir
