keyword,volumen_es,volumen_mx,volumen_ar,kd,intencion,url_destino,prioridad
juegos diarios,2900,2400,2400,37,navegacional-mixta,/juegos-diarios,P1
juegos diarios gratis,1300,n.d.,n.d.,28,informacional-jugar,/juegos-diarios,P1
juego diario,480,n.d.,n.d.,56,informacional,/juegos-diarios,P2
juego diario gratis,390,n.d.,n.d.,55,informacional-jugar,/juegos-diarios,P2
puzzle diario,70,n.d.,n.d.,17,informacional-jugar,/archivo,P1
reto diario,40,n.d.,n.d.,24,informacional,/juegos-diarios,P2
sudoku diario,3600,n.d.,n.d.,68,informacional-jugar,/juegos-diarios,P2
juegos de logica,1600,140,880,27,informacional,/juegos-de-logica,P1
juegos de logica online,320,30,30,25,informacional-jugar,/juegos-de-logica,P1
juegos de logica gratis,260,n.d.,n.d.,36,comercial,/juegos-de-logica,P1
juegos gratis de logica,210,n.d.,n.d.,30,informacional-jugar,/juegos-de-logica,P2
juegos de logica para adultos,390,n.d.,n.d.,16,informacional,/juegos-de-logica,P1
juegos de logica y razonamiento,210,n.d.,n.d.,12,informacional,/juegos-de-logica,P1
juegos de logica faciles,20,n.d.,n.d.,0,informacional-jugar,/archivo/dificultad/facil,P1
juegos de logica dificiles,20,n.d.,n.d.,0,informacional-jugar,/archivo/dificultad/experto,P1
juegos de logica para ninos,170,210,170,8,informacional,/juegos-como-murdoku/para-ninos,P1
juegos de logica para imprimir,110,n.d.,n.d.,10,transaccional,/para-imprimir,P1
juegos de detectives,320,880,720,25,informacional,/juegos-de-detectives,P1
juego de detectives,320,n.d.,n.d.,24,informacional,/juegos-de-detectives,P1
juegos de resolver crimenes,210,n.d.,n.d.,36,informacional-jugar,/juegos-de-detectives,P1
casos para resolver,170,n.d.,n.d.,16,informacional-jugar,/juegos-de-detectives,P1
juegos de investigacion,140,n.d.,n.d.,28,informacional,/juegos-de-detectives,P2
juegos de misterio,260,1300,110,18,informacional,/juegos-de-misterio,P1
escape room online gratis,720,n.d.,n.d.,39,comercial,/juegos-de-misterio,P2
cluedo online,480,110,20,17,informacional-jugar,/juegos-como-cluedo,P2
acertijos,8100,22200,5400,41,informacional,/acertijos,P2
acertijos de logica,720,390,140,27,informacional,/acertijos,P2
acertijos con respuesta,1900,n.d.,n.d.,33,informacional,/acertijos,P2
acertijos para adultos,2400,n.d.,n.d.,30,informacional,/acertijos,P2
acertijos dificiles,1300,n.d.,n.d.,35,informacional,/archivo/dificultad/experto,P2
acertijos faciles,390,n.d.,n.d.,36,informacional,/archivo/dificultad/facil,P2
acertijos de pensamiento lateral,260,n.d.,n.d.,14,informacional,/acertijos,P2
acertijos para ninos,2400,n.d.,n.d.,22,informacional,/juegos-como-murdoku/para-ninos,P1
acertijos para adolescentes,90,n.d.,n.d.,26,informacional,/para-profesores,P2
enigmas,1300,14800,9900,32,informacional,/enigmas,P2
enigmas para resolver,260,n.d.,n.d.,28,informacional-jugar,/enigmas,P2
juegos para pensar,260,720,1300,44,informacional,/juegos-para-pensar,P2
juegos mentales,1600,n.d.,n.d.,49,informacional,/juegos-de-logica,P2
juegos de ingenio,480,n.d.,n.d.,15,informacional,/juegos-de-logica,P2
pasatiempos,27100,6600,2900,61,navegacional-medios,/para-medios,P2
pasatiempos gratis,12100,n.d.,n.d.,61,informacional,/para-medios,P2
pasatiempos online,6600,n.d.,n.d.,67,informacional,/para-medios,P2
pasatiempos diarios,5400,n.d.,n.d.,50,informacional,/juegos-diarios,P2
pasatiempos el pais,22200,n.d.,n.d.,37,navegacional-medios,/para-medios,P2
20 minutos pasatiempos,2900,n.d.,n.d.,31,navegacional-medios,/para-medios,P2
la vanguardia pasatiempos,1300,n.d.,n.d.,42,navegacional-medios,/para-medios,P2
abc pasatiempos,1000,n.d.,n.d.,32,navegacional-medios,/para-medios,P2
pasatiempos para imprimir,320,110,20,19,transaccional,/para-imprimir,P1
pasatiempos para ninos,90,n.d.,n.d.,13,informacional,/juegos-como-murdoku/para-ninos,P1
recursos para profesores,50,n.d.,n.d.,25,informacional,/para-profesores,P1
como se juega al sudoku,1000,n.d.,n.d.,23,informacional,/como-jugar,P2
wordle espanol,110000,1000,5400,53,navegacional,/juegos-diarios-como-wordle,P2
la palabra del dia juego,12100,n.d.,n.d.,58,navegacional,/juegos-diarios-como-wordle,P2
juegos para dos personas online,260,n.d.,n.d.,69,informacional,/duelos,P2
juegos online sin descargar,390,n.d.,n.d.,88,informacional,/juegos-como-murdoku/sin-descargar,P2
